,expavg,sqrtMSE,MSE,Bj,v,av,ai,Wdis,avg,variance,FD,sqrtMSE_FD
2.5,10.51802815576977,0.04818148392613023,0.002322379893173109,0.004179235618890494,0.002298885312318323,0.9863818800461761,0.7351463214295402,0.01972724551811613,10.536205909090906,0.02446327765537193,10.51647866357279,0.04797794108895877
2.5005,10.50037795622002,0.04820400157408645,0.002324484167421358,0.004285604560251668,0.002299577025193884,0.9863862334366953,0.728341939475559,0.0197330945039671,10.518545454545453,0.02447254534793382,10.498812360041487,0.04798708493080038
2.501,10.485398923066672,0.04817614396082999,0.0023218322872476087,0.004427186251159674,0.0022949293993303546,0.9863916027047559,0.7193542456612148,0.01969346122409534,10.503533636363635,0.024423474533884368,10.48384017513954,0.0479373115797663
2.5015,10.470666611213211,0.04807491500910614,0.0023122840466401774,0.004588439755894475,0.002282946455363033,0.9863971651082195,0.7092681031658628,0.01959135515258023,10.488718636363636,0.02429379760165288,10.469127281211057,0.04780595297797767
2.502,10.455480051225589,0.04801352333816497,0.0023065593265059188,0.004928955682927266,0.002271838490832949,0.9864066132432032,0.6900224375611199,0.01949665221552284,10.473451818181818,0.024175257875206604,10.453955165966295,0.047685368007632845
2.5025,10.44039238299008,0.04791339644362547,0.00229716708439348,0.004815506514989758,0.0022641852768740217,0.9864039405737457,0.6957635296444004,0.019431508338629,10.458300909090909,0.02409003791487612,10.43886940075228,0.04759870791465144
2.503,10.4256022177392,0.04784665753067872,0.0022909700800944066,0.004932158506056777,0.0022560400023036763,0.9864069816738111,0.6892111484617549,0.019362107277527685,10.443438181818182,0.024001617293388476,10.424076074540654,0.04750840968107403
2.5035,10.41089085680996,0.04785960345813442,0.0022921902741299058,0.004985301848921943,0.0022563938545287557,0.9864082165187522,0.6864556248826268,0.019365105981683926,10.428730454545455,0.02400598855785125,10.409365348563771,0.04751287354177581
2.504,10.395863968362509,0.04786269727531042,0.002292439644694441,0.0048259527617232475,0.0022592452280752583,0.9864043063581929,0.6949924380202024,0.019389434452225556,10.413720454545455,0.0240358388479339,10.39433102009323,0.047543391694083545
2.5045,10.380954442180816,0.04784086095373355,0.0022903783208044937,0.004602159394090113,0.0022606384924613067,0.9863981010735857,0.7074862785516561,0.019401369421747812,10.398818636363636,0.024048770206611586,10.37941726694189,0.047556602875561745
2.505,10.365963039304035,0.0478981506564663,0.0022958357251721814,0.005145581781418376,0.0022573575946595132,0.9864117053820258,0.6783541242126118,0.019373270792310028,10.383821818181818,0.0240179452785124,10.364448547389507,0.047525053605717245
2.5055,10.350807397803589,0.04788136747789263,0.0022943082951712335,0.005236687107928149,0.0022542201721131765,0.9864136005879443,0.6737460623415874,0.01934652878027344,10.368635000000001,0.023984171601652914,10.349288471219726,0.04749053530423968
2.506,10.335716447494388,0.04782015580044274,0.0022884850229059777,0.004853188021542845,0.002254814836999667,0.9864050806561362,0.6933450561503658,0.019351696065030226,10.353540454545456,0.023987404144628105,10.334188758480426,0.04749386966995878
2.5065,10.321216932076165,0.04767496341953789,0.002274984689155618,0.004608173469085602,0.0022450141181506672,0.9863986382678863,0.7064519868179057,0.019268305712823973,10.338966363636363,0.023877108938016506,10.319698057923539,0.04738056308132313
2.507,10.306083438325643,0.04774364076645342,0.0022815848808443824,0.0038636014469352947,0.002261785572771043,0.9863676750024021,0.754792634170866,0.019411426229425904,10.323956818181816,0.02404980216611576,10.304545391952391,0.04755672732103608
2.5075,10.29119749925934,0.04783583030684514,0.0022904487290645644,0.0035879787788622997,0.0022738645229472467,0.9863485843522465,0.7763303836959479,0.019514428645194037,10.309158636363637,0.02417552023388429,10.289644207718442,0.04768472237568568
2.508,10.2760340455988,0.04790013972095687,0.0022965490001997657,0.003510136851874171,0.002280833255329541,0.9863416552396091,0.7830663176629771,0.01957381683284784,10.294057727272728,0.0242496015801653,10.27448391043988,0.04776026937614996
2.5085,10.260748668667368,0.047895716784773223,0.002295901791510927,0.003673601745063047,0.0022784040644017204,0.9863547459308186,0.7698929920773954,0.019553046637865633,10.278768636363637,0.02422775370661151,10.25921558972577,0.047738577878226045
2.509,10.245918424645229,0.04787535802293372,0.002293780437774829,0.003916933231106056,0.00227341683002255,0.9863701410813919,0.7516338900181101,0.019510458364876637,10.263903636363636,0.02417867603388435,10.24439317799876,0.047688937277022406
2.5095,10.231001008037204,0.047889903776993314,0.0022951280201353587,0.0039288443402327325,0.0022746277749488564,0.9863707344032624,0.7508592425262937,0.01952076589617291,10.248985,0.024192220414876064,10.229464234103826,0.047702795285723236
2.51,10.21609414574422,0.04792862913702012,0.0022987120032108028,0.003976721935715549,0.002277644717453686,0.9863731276651505,0.7476747456478336,0.019546438108215523,10.234093636363635,0.024226311168595038,10.21454719825542,0.04773764198482461
2.5105,10.201464539462972,0.04788923037942465,0.00229511198206164,0.0038640609903047777,0.0022753979294071105,0.9863670981950681,0.7555175857515672,0.019527354247199015,10.219449090909091,0.02419932077355371,10.199921736661892,0.04770995294853881
2.511,10.186724283023967,0.047954532069586206,0.002301242203775042,0.003818871668704298,0.002282106379343051,0.9863641202786964,0.7591797799561393,0.019584507104688093,10.20475409090909,0.024271993071074423,10.185169583804402,0.04778407067975844
