,CV,AvgJarzynski,sd,sem
0,2.5,10.526674740500283,0.034968535003170126,0.005599446951326199
1,2.5005,10.509013649475168,0.034959763880414725,0.005598042447632578
2,2.501,10.493987260537708,0.03498648565276965,0.005602321355706172
3,2.5015,10.479256808277515,0.03505845825002033,0.005613846194828481
4,2.502,10.46404660072282,0.03501454612689879,0.005606814627623368
5,2.5025,10.44897978331619,0.034935571296720404,0.005594168533869832
6,2.503,10.434166835439814,0.03480786372386523,0.005573718956001605
7,2.5035,10.41951904583507,0.034827202927310674,0.005576815706945384
8,2.504,10.40453781665948,0.03486881082230104,0.005583478302353907
9,2.5045,10.38970112449331,0.034919663547617816,0.00559162125537484
10,2.505,10.374784516619759,0.034994970225428156,0.005603679974661805
11,2.5055,10.35962943828831,0.03493775713473935,0.005594518548076323
12,2.506,10.344558944660225,0.03488974817356341,0.005586830961757119
13,2.5065,10.330051391247682,0.03484245261168086,0.005579257610749693
14,2.507,10.314947168399222,0.034887702106225195,0.00558650332877169
15,2.5075,10.300123530818087,0.03492702836482756,0.005592800569957748
16,2.508,10.284985150651675,0.035019992046256485,0.005607686672635887
17,2.5085,10.269690466164304,0.03503084343871578,0.005609424286076608
18,2.509,10.254836187714222,0.03492715090465154,0.00559282019203353
19,2.5095,10.239886537043267,0.034842849608274856,0.0055793211810813564
20,2.51,10.224969394262297,0.03480190141080013,0.005572764221818083
21,2.5105,10.210368500786727,0.03476476917533239,0.005566818305505977
22,2.511,10.195655389199093,0.03481726887441824,0.005575224985395916
23,2.5115,10.181087516961345,0.034719429776144395,0.005559558191219371
24,2.512,10.16607380554645,0.034649346877476964,0.005548335946042446
25,2.5125,10.151534052803957,0.03464494438865341,0.005547630983634984
26,2.513,10.136904187118441,0.0346118260576754,0.005542327806438368
27,2.5135,10.121960628442569,0.034610619416159095,0.005542134589160059
28,2.514,10.107469647292321,0.03461224220047509,0.005542394442616602
29,2.5145,10.09256206737555,0.03445621833945316,0.005517410629801618
30,2.515,10.078156396186964,0.03459847014271072,0.005540189148432697
31,2.5155,10.063666727999735,0.03482265614169241,0.005576087638558583
32,2.516,10.048612001614076,0.035029353935880046,0.005609185774737434
33,2.5165,10.033686338615258,0.03506362470168497,0.005614673489195263
34,2.517,10.01877568625612,0.035132773844371704,0.005625746213750894
35,2.5175,10.004087542232643,0.03522033527975295,0.005639767264743017
36,2.518,9.990018059427314,0.035262229889139594,0.005646475771198485
37,2.5185,9.975441274437978,0.035253608388050355,0.005645095226146036
38,2.519,9.960650620800442,0.035255007870148444,0.005645319322630687
39,2.5195,9.946463666181296,0.03516693941101632,0.005631217082861402
40,2.52,9.932059072876616,0.035096089013110766,0.005619871939448429
41,2.5205,9.917784227607033,0.03508818594821619,0.005618606436257458
42,2.521,9.903047485700963,0.035165764873520085,0.005631029006340554
43,2.5215,9.888802655372428,0.03523677883331318,0.005642400340616611
44,2.522,9.874581451646346,0.03518473262567247,0.005634066277474548
45,2.5225,9.859953741353666,0.03511333886530337,0.0056226341264334415
46,2.523,9.845409172077712,0.03522085928108551,0.0056398511721089915
47,2.5235,9.831091974475783,0.03525315715837598,0.005645022971571337
48,2.524,9.816866549818858,0.03524260561746116,0.005643333372804849
49,2.5245,9.802017972487715,0.03537803186873513,0.005665018928398092
50,2.525,9.78751204272896,0.035463222653915154,0.0056786603715501755
51,2.5255,9.77322119026267,0.035411601656081274,0.00567039439646946
52,2.526,9.758333535997998,0.03539385308883453,0.005667552351163554
53,2.5265,9.744019172812528,0.0355760792544644,0.005696731890640845
54,2.527,9.730459985621433,0.0354648735670281,0.005678924729219045
